Ime recepta,Število sestavin,Število besed v receptu,Število odstavkov,Težavnost,Čas priprave,Čas kuhanja,Skupni čas,Vrsta kuhinje,Energijska vrednost na porcijo
Ražnjiči s svinjino in papriko,7,120,4,1,45 min,8 min,53 min,Meso,159.81 kCal
Sipin golaž z domačimi rezanci,16,321,8,1,20 min,2 h 20 min,2 h 40 min,Ribe in morski sadeži,105.81 kCal
Jagodne rezine brez peke,10,180,6,1,15 min,5 min,20 min,Sladice,325.49 kCal
Torta St. Honore (iz MasterChefa),17,335,9,1,1 h 20 min,40 min,2 h 0 min,MasterChef,249.53 kCal
Opera torta (iz MasterChefa),23,242,7,1,1 h 50 min,40 min,2 h 30 min,MasterChef,364.93 kCal
Paris Brest (iz MasterChefa),19,327,7,1,2 h 0 min,30 min,2 h 30 min,MasterChef,259.71 kCal
Medena torta medovik (iz MasterChefa),8,217,6,1,1 h 40 min,30 min,2 h 10 min,MasterChef,375.52 kCal
Kvašeni masleni rogljički,13,325,8,2,3 h 0 min,20 min,3 h 20 min,Pecivo,389.54 kCal
Polnjene paprike iz pečice,10,235,6,1,15 min,35 min,50 min,Kaj skuhati,135.97 kCal
Mediteranske piščančje kroglice z jogurtovo pomako,16,81,5,1,15 min,20 min,35 min,Na hitro,159.73 kCal
Polpeti iz blitve in krompirja,11,106,6,1,15 min,15 min,30 min,Zelenjava,78.38 kCal
Češnjeve kremne rezine,15,180,5,1,45 min,15 min,1 h 0 min,Sladice,292.39 kCal
Zapečene palačinke z mletim mesom in zelenjavo,19,302,8,1,20 min,40 min,1 h 0 min,Kosilo,196.13 kCal
Piščančji zrezki v kremni omaki s sušenimi paradižniki,10,200,6,1,5 min,25 min,30 min,Kaj skuhati,233.81 kCal
Hitro pecivo z jagodami,9,136,5,1,15 min,15 min,30 min,Pecivo,183.73 kCal
Listnati zavitek z marmelado in mascarponejem,10,212,9,1,15 min,30 min,45 min,Pecivo,269.83 kCal
Babičino pecivo s sadjem,14,129,5,1,10 min,35 min,45 min,Pecivo,91.25 kCal
Hitre ovsene rezine s skuto in paradižniki,10,93,6,1,10 min,45 min,55 min,Zdravo in vegi,158.93 kCal
Ocvrte mesne polpete,11,200,5,1,20 min,15 min,35 min,Meso,223.14 kCal
Špargljeva juha s krompirjem,7,237,7,1,10 min,25 min,35 min,Juhe in jedi na žlico,71.07 kCal
Krhke košarice z mascarpone kremo in sadjem,13,278,7,1,30 min,20 min,50 min,Pecivo,423.7 kCal
Pečene marinirane perutničke,9,179,6,1,5 min,40 min,45 min,Meso,244.44 kCal
Jagodna pita z mrežo,11,297,8,1,1 h 0 min,1 h 0 min,2 h 0 min,Sladice,259.56 kCal
