Ime recepta,Število sestavin,Število besed v receptu,Število odstavkov,Težavnost,Čas priprave,Čas kuhanja,Skupni čas,Vrsta kuhinje,Energijska vrednost na porcijo
Mehki kvašeni rogljički s sezamom,9,217,4,2,1 h 50 min,15 min,2 h 5 min,Testenine in žita,352.56 kCal
Sočen gin tonik kolač,13,256,7,1,30 min,30 min,1 h 0 min,Sladice,366.6 kCal
Štajerska kisla juha,12,150,5,1,5 min,2 h 50 min,2 h 55 min,Juhe in jedi na žlico,162.7 kCal
Irska goveja enolončnica (goveji ragu po irsko),14,250,7,1,15 min,2 h 0 min,2 h 15 min,Juhe in jedi na žlico,91.74 kCal
Mandljevo pecivo s hruškami,12,227,9,1,15 min,40 min,55 min,Sladice,379.61 kCal
"Pečena račka s kremo iz pese in robid, čokoladna omaka, zeleno jabolko in koromač s citrusi",14,138,7,1,15 min,30 min,45 min,MasterChef,0 kCal
"Gnezdo iz mladega graha, rjavo maslo, kozica z wasabijem",9,175,7,2,25 min,15 min,40 min,MasterChef,444.2 kCal
"Solata iz kodrolistnega ohrovta, kvinoje, orehov in fete",12,222,5,1,40 min,15 min,55 min,Zdravo in vegi,456.42 kCal
Limonini mafini z vanilijevo kremo,16,248,8,1,20 min,20 min,40 min,Sladice,336.8 kCal
Juha iz štorovk (mraznic),12,171,5,1,5 min,20 min,25 min,Juhe in jedi na žlico,66.71 kCal
Kakijev parfait s chia pudingom,8,96,3,1,1 h 15 min,0 min,1 h 15 min,Zajtrk,169.52 kCal
Palačinka iz pečice z jabolki,10,180,6,1,10 min,32 min,42 min,Sladice,204.81 kCal
Jabolčna pita s skuto,19,266,6,1,1 h 30 min,40 min,2 h 10 min,Sladice,204.46 kCal
"Jagenjček v mandljevi skorji, vinska omaka z granatnim jabolkom, štruklji s peteršiljem in jagodna čipka",35,378,10,2,50 min,50 min,1 h 40 min,MasterChef,186.58 kCal
Leča s klobaso,14,165,5,1,5 min,37 min,42 min,Kosilo,257.21 kCal
Pecivo s kislo smetano in cimetom,13,209,6,1,15 min,30 min,45 min,Sladice,320.14 kCal
Pečena buča s sirom in semeni,10,151,6,1,10 min,30 min,40 min,Zelenjava,91.4 kCal
Ovsena kaša s kakavom in mandlji,8,95,3,1,0 min,5 min,5 min,Fit,391.2 kCal
"Čokoladni kolač s hruškami, lešniki in olivnim oljem",12,273,8,2,20 min,1 h 15 min,1 h 35 min,Sladice,291.81 kCal
Puranja jetra in srčki v omaki,11,106,5,1,5 min,15 min,20 min,Na hitro,211.51 kCal
Bučni kolački s karameliziranimi jabolki in mascarponejevo kremo,16,110,5,1,15 min,20 min,35 min,Sladice,255.11 kCal
Bučna juha,9,128,4,2,10 min,20 min,30 min,Juhe in jedi na žlico,217.63 kCal
Ocvrta jabolka s cimetom,10,129,4,1,15 min,15 min,30 min,Sladice,69.54 kCal
"Pečen sladki krompir z avokadom, feto in granatnim jabolkom",10,193,5,1,15 min,35 min,50 min,Zdravo in vegi,212.09 kCal
"Ravioli s svinjino in žajbljem, pasijonkina omaka in mlado korenje v maslu",11,109,6,1,15 min,15 min,30 min,MasterChef,257.54 kCal
Jabolčne rezine brez peke,13,166,5,1,15 min,20 min,35 min,Sladice,234.2 kCal
Piškoti z ovsenimi kosmiči in orehi,10,164,5,1,40 min,20 min,1 h 0 min,Sladice,416.19 kCal
Slastna jed iz ostankov piščanca,12,143,5,1,10 min,55 min,1 h 5 min,Kaj skuhati,169.48 kCal
Rižota z bučo,11,190,6,1,10 min,40 min,50 min,Kosilo,186.47 kCal
Super preprost kolač z jabolki,13,104,5,1,10 min,35 min,45 min,Sladice,259.78 kCal
Bučni kruhki,8,227,6,2,2 h 0 min,40 min,2 h 40 min,Jesen,206.13 kCal
Zapečena cvetača v sirovi omaki,7,226,6,1,10 min,50 min,1 h 0 min,Zelenjava,188.57 kCal
Kostanjeve palačinke,7,164,4,1,20 min,15 min,35 min,Brez glutena,204.55 kCal
Skutni žepki (blazinice) z rozinami,9,146,7,1,30 min,20 min,50 min,Sladice,206.64 kCal
Peresniki z orehovo omako,8,149,5,1,10 min,11 min,21 min,Na hitro,439.34 kCal
Piščančja omaka,2,94,4,1,5 min,20 min,25 min,MasterChef,221.67 kCal
Paradižnikova omaka z rdečim vinom,10,100,3,1,0 min,30 min,30 min,MasterChef,19.3 kCal
Počasi pečene puranje krače,9,168,5,1,5 min,3 h 0 min,3 h 5 min,Meso,202.47 kCal
Krompirjeve palačinke s klobaso,9,194,6,1,10 min,20 min,30 min,Na hitro,164.91 kCal
Limonina pita z meringo,16,293,8,1,50 min,20 min,1 h 10 min,MasterChef,311.37 kCal
Kokosovi poljubčki brez glutena,8,90,3,1,15 min,25 min,40 min,Sladice,392.81 kCal
Čokoladno pecivo s skutino kremo,16,351,7,2,1 h 0 min,18 min,1 h 18 min,Sladice,280.65 kCal
Malinov sorbet s poprom in žajbljem,5,126,4,1,3 h 20 min,10 min,3 h 30 min,MasterChef,179.45 kCal
"Škampovi tortelini, zeliščna polenta, brancinov file in škampova omaka",22,167,6,1,20 min,1 h 0 min,1 h 20 min,MasterChef,163.15 kCal
Gosta čičerikina juha,7,147,5,1,2 min,18 min,20 min,Juhe in jedi na žlico,170.63 kCal
Domač čokoladno-lešnikov namaz,7,234,6,1,20 min,10 min,30 min,Namazi,596.84 kCal
Skutini štruklji s slivovo omako,10,98,5,1,15 min,20 min,35 min,MasterChef,120.11 kCal
"Ajdova kaša s sotiranimi šparglji, korenčkom, grahom, masleno špargljevo omako, granatnim jabolkom in mandlji",10,187,5,1,10 min,20 min,30 min,Zdravo in vegi,159.16 kCal
Brezglutenski krompirjevi njoki,5,246,5,1,20 min,1 h 0 min,1 h 20 min,Triki in nasveti,123.89 kCal
Čokoladna panna cotta z mangom,7,152,5,1,10 min,10 min,20 min,Sladice,251.91 kCal
Sočno pecivo z drožmi,10,86,3,1,5 min,35 min,40 min,Sladice,211.66 kCal
Brokolijeva juha s čedarjem,12,251,5,1,10 min,30 min,40 min,Juhe in jedi na žlico,261.01 kCal
Palačinke s karameliziranimi hruškami,13,224,5,1,30 min,20 min,50 min,Sladice,221.54 kCal
Jutranji kolač s kosmiči in jabolki,9,169,5,1,15 min,35 min,50 min,Zajtrk,217.58 kCal
Z rikoto in špinačo polnjene testenine v paradižnikovi omaki,13,227,5,1,15 min,50 min,1 h 5 min,Kosilo,175.45 kCal
Ajdova granola z oreščki in semeni,11,140,5,1,10 min,35 min,45 min,Brez glutena,498.33 kCal
Hitri jogurtovi kruhki brez kvasa,4,119,4,1,15 min,20 min,35 min,Testenine in žita,347.41 kCal
Jabolčno pecivo z meringo in drobljencem,16,293,6,2,1 h 40 min,45 min,2 h 25 min,Sladice,270.8 kCal
Rižota z morskimi ježki,8,112,5,2,20 min,30 min,50 min,MasterChef,80.39 kCal
Ribji brodet s popečeno polento in filejem trilje,16,256,8,2,20 min,25 min,45 min,MasterChef,86.67 kCal
"Oslič v zeliščni tempuri, pomfri iz navadnega in sladkega krompirja ter zeliščna majoneza",15,143,6,2,20 min,20 min,40 min,MasterChef,142.55 kCal
Marmorne rezine z vanilijevim pudingom,14,198,7,1,10 min,30 min,40 min,Sladice,190.67 kCal
Sočno čokoladno pecivo s kislo smetano,10,142,5,1,15 min,35 min,50 min,Sladice,345.72 kCal
"Pašteta iz rdeče kvinoje, špargljev in koromača",11,120,6,1,15 min,20 min,35 min,MasterChef,88.78 kCal
Mousse iz bele čokolade in matche,12,196,7,1,30 min,20 min,50 min,MasterChef,425.52 kCal
"Ričota z gobami, korenjem in hruško, piščančje bedrca v tempuri in česnova omaka",8,140,5,1,15 min,30 min,45 min,MasterChef,132.43 kCal
Vratovina in zelenjava iz pečice,8,130,4,1,15 min,50 min,1 h 5 min,Jesen,105.77 kCal
Bananine palačinke s kosmiči,8,180,5,1,10 min,15 min,25 min,Fit,143.02 kCal
Dišeče poširane hruške v vinu,8,140,5,1,5 min,35 min,40 min,Jesen,141.45 kCal
Humus s sušenimi paradižniki,8,153,4,1,15 min,0 min,15 min,Predjedi in prigrizki,223.69 kCal
Polnozrnate testenine s pestom iz brokolija in orehov,9,185,4,1,10 min,20 min,30 min,Zdravo in vegi,274.78 kCal
Bučna rolada s kremnim nadevom,13,246,8,1,20 min,15 min,35 min,Sladice,291.43 kCal
Mlečni zdrob z maslom in kakavom,6,91,3,1,0 min,13 min,13 min,Zajtrk,135.24 kCal
Losos v kremni kokosovi curry omaki,13,235,7,1,10 min,20 min,30 min,Ribe in morski sadeži,225.14 kCal
Pečene polnjene paprike z nadevom iz skute in zelišč,7,139,4,1,10 min,30 min,40 min,Zelenjava,74.13 kCal
Pečen sladki krompir s čebulo in timijanom,6,118,3,1,10 min,40 min,50 min,Zelenjava,210 kCal
Galeta s slivami in mandlji,16,286,5,1,55 min,50 min,1 h 45 min,Sladice,240.73 kCal
"Fritata z lisičkami, žajbljem in sirom",8,188,5,1,10 min,20 min,30 min,Jajčne jedi,143.18 kCal
Jajčna omleta z zelišči,4,123,5,2,5 min,5 min,10 min,Jajčne jedi,138.62 kCal
Ocvrtki iz navadnega in sladkega krompirja z zeliščno majonezo,16,231,7,2,20 min,25 min,45 min,MasterChef,103.59 kCal
Školjke s porom in rustikalni grisini z limonino lupinico,12,113,4,2,20 min,25 min,45 min,MasterChef,129.61 kCal
Mlečni riž s pasijonkino kremo ter espuma iz jogurta in pasijonke,12,144,5,2,20 min,25 min,45 min,MasterChef,176.99 kCal
Pečen losos z gobami in špinačo v smetanovi omaki,9,203,6,1,10 min,20 min,30 min,Na hitro,143.67 kCal
Kokosove kocke z jagodno marmelado,13,283,7,1,1 h 0 min,30 min,1 h 30 min,Sladice,433.5 kCal
Kremna juha iz pečene muškatne buče,9,170,6,1,15 min,45 min,1 h 0 min,Juhe in jedi na žlico,62.9 kCal
"Sladki cimetov kruh, ki se trga (kruh v plasteh)",12,364,9,2,2 h 25 min,35 min,3 h 0 min,Sladice,362.14 kCal
Kokosove energijske kroglice,6,99,5,1,15 min,0 min,15 min,Fit,433.81 kCal
Limonini razpokančki,9,210,6,1,30 min,12 min,42 min,Sladice,375.65 kCal
Svinjski kotleti s smetanovo gorčično omako,7,184,6,1,5 min,15 min,20 min,Kosilo,162.55 kCal
Košarice iz vlečenega testa z mascarponejevo kremo in sadjem,9,191,6,2,40 min,10 min,50 min,Sladice,271.79 kCal
Okusna svinjska pečenka s krompirjem,10,248,6,1,10 min,2 h 0 min,2 h 10 min,Meso,110.62 kCal
Originalna guacamole omaka (pomaka),8,107,3,1,15 min,0 min,15 min,Omake,141.85 kCal
Makovo pecivo z marmelado in čokolado,13,198,6,1,15 min,25 min,40 min,Sladice,375.87 kCal
Beljakova kavna rolada z mandlji in smetano,11,238,7,2,20 min,25 min,45 min,Sladice,296.67 kCal
"Špageti s smetano, gobami in špinačo",10,243,6,1,10 min,15 min,25 min,Testenine in žita,178.72 kCal
Pašteta iz prekajenega lososa,6,85,4,1,10 min,0 min,10 min,Ribe in morski sadeži,354.75 kCal
Pavlova z dušenimi slivami s cimetom,12,288,7,1,30 min,1 h 10 min,1 h 40 min,Sladice,166.07 kCal
Pečena jajca s čebulo in papriko,6,146,4,1,10 min,20 min,30 min,Na hitro,122.84 kCal
Piščančji zrezek po dunajsko,8,186,5,1,15 min,6 min,21 min,Meso,231.25 kCal
Bananini mafini z belo čokolado,11,191,5,1,15 min,25 min,40 min,Sladice,285.33 kCal
Kremaste orzo testenine z bučkami in korenjem,10,105,4,1,10 min,20 min,30 min,Na hitro,278.21 kCal
Puhaste japonske palačinke,7,188,5,2,15 min,20 min,35 min,Sladice,229.38 kCal
Testenine v paradižnikovi omaki s tuno,10,197,5,1,10 min,35 min,45 min,Testenine in žita,186.62 kCal
Čokoladni semifreddo s pistacijami,7,271,6,1,25 min,0 min,25 min,Sladice,359.76 kCal
Poletna zelenjavna omaka,10,194,6,1,10 min,40 min,50 min,Zelenjava,81.26 kCal
Zdravo jabolčno pecivo z začimbami,16,191,5,1,10 min,35 min,45 min,Sladice,191.03 kCal
Brokolijeva pita brez testa,8,167,6,1,15 min,1 h 5 min,1 h 20 min,Zelenjava,160.67 kCal
Čokoladna piškotna torta brez peke,11,219,6,1,1 h 20 min,10 min,1 h 30 min,Sladice,451.53 kCal
"Pečene bučke s paradižnikom, mocarelo in baziliko",8,149,5,1,5 min,30 min,35 min,Zelenjava,141.23 kCal
Stročji fižol z mandlji,8,165,5,1,10 min,25 min,35 min,Zelenjava,98.53 kCal
Irski soda kruh,7,144,5,1,15 min,40 min,55 min,Testenine in žita,333.45 kCal
Pita z breskvami in kislo smetano,12,212,4,1,45 min,40 min,1 h 25 min,Sladice,198.91 kCal
Piščančje prsi z limonino omako,10,154,4,1,5 min,35 min,40 min,Meso,213.37 kCal
Kokosova panakota,7,123,5,1,10 min,5 min,15 min,Sladice,264.62 kCal
Preprosto jogurtovo pecivo z borovnicami,12,181,5,1,15 min,1 h 0 min,1 h 15 min,Sladice,249.48 kCal
Baskovski cheesecake (iz MasterChef Slovenija),8,278,7,1,15 min,1 h 0 min,1 h 15 min,Sladice,297.39 kCal
Lignji v solati,8,179,5,1,15 min,1 min,16 min,Solate,127.41 kCal
"Presna ajdova kaša s kakavom, banano in oreščki",9,107,3,1,10 min,0 min,10 min,Fit,258.88 kCal
Palačinka iz pečice z lososom in rukolo,13,154,4,1,10 min,25 min,35 min,Na hitro,246.23 kCal
Pečen krompir s papriko,6,87,4,1,10 min,40 min,50 min,Zelenjava,59.03 kCal
Hitri narastek z bučkami in jogurtom,10,172,5,1,20 min,30 min,50 min,Zelenjava,131.87 kCal
Limonina pita (limonin tart),13,333,7,1,1 h 15 min,50 min,2 h 5 min,Sladice,369.88 kCal
Špageti z limonino omako,8,262,6,1,5 min,15 min,20 min,Testenine in žita,403.56 kCal
Rižota s šparglji in kozicami,8,139,4,1,5 min,30 min,35 min,Testenine in žita,141.79 kCal
Veganski bananini mafini z borovnicami in malinami,11,236,6,1,10 min,25 min,35 min,Fit,202.5 kCal
Namaz iz jajčevcev,9,175,5,1,15 min,40 min,55 min,Namazi,77.23 kCal
Kozice v paradižnikovi omaki s feto,10,177,5,1,15 min,35 min,50 min,Ribe in morski sadeži,81.47 kCal
Preprosta torta s smetano in malinami,12,283,8,1,30 min,50 min,1 h 20 min,Sladice,202.07 kCal
Testenine z bučkami in pinjolami iz ene ponve,9,164,4,1,5 min,20 min,25 min,Na hitro,253.79 kCal
Bučkini polpeti v pečici,5,121,4,1,45 min,35 min,1 h 20 min,Zelenjava,118.29 kCal
Zajčja obara,12,179,6,1,10 min,1 h 45 min,1 h 55 min,Kosilo,93.88 kCal
Limonina rolada,11,247,7,2,20 min,11 min,31 min,Sladice,270.4 kCal
Limonina granita,5,135,4,1,3 h 20 min,5 min,3 h 25 min,Sladice,385.15 kCal
Kumarična solata s kislo smetano,6,95,3,1,20 min,0 min,20 min,Poletje,45.2 kCal
Paradižnikova solata s pestom in sirom,11,166,4,1,20 min,5 min,25 min,Solate,120.63 kCal
Piščanec z gobami in smetano iz pečice,11,209,6,1,10 min,45 min,55 min,Kosilo,87.24 kCal
"Kuskus s piščancem, porom in paradižnikom",7,157,4,1,10 min,15 min,25 min,Na hitro,159.05 kCal
Makovo pecivo z jagodami,13,254,6,1,30 min,20 min,50 min,Sladice,270.51 kCal
Češnjev kompot,6,101,4,1,30 min,10 min,40 min,Domači pripravki,72.34 kCal
Slani mafini s slanino in šparglji,9,152,6,1,15 min,30 min,45 min,Piknik in žar,248.98 kCal
Sirloin steak,4,132,4,1,5 min,20 min,25 min,Meso,193.95 kCal
Preprosto pecivo z borovnicami,8,72,4,1,10 min,30 min,40 min,Sladice,208.87 kCal
"Rižota s piščancem, šparglji in pršutom",9,119,5,1,10 min,30 min,40 min,Testenine in žita,96.25 kCal
Mlečni riž z jagodami,9,129,3,1,40 min,25 min,1 h 5 min,Pomlad,188.78 kCal
Kuskus z zelenjavo,10,142,4,1,15 min,15 min,30 min,Zdravo in vegi,104.34 kCal
Lepljive perutničke s sezamom,8,141,5,1,10 min,40 min,50 min,Zabava,219.35 kCal
Piščančji souvlaki,8,100,3,1,20 min,12 min,32 min,Meso,188.24 kCal
"Pice s paradižnikom, lososom in smetanovo omako s koprom",17,217,5,1,40 min,12 min,52 min,Testenine in žita,285.08 kCal
Ramstek na žaru,8,150,3,1,25 min,6 min,31 min,Mehiška,273.79 kCal
Sirova rolada,9,224,4,1,30 min,10 min,40 min,Zabava,295.09 kCal
Španski kroketi s špinačo,12,339,7,2,2 h 0 min,40 min,2 h 40 min,Zabava,281.73 kCal
Počasi pečeno svinjsko pleče,7,184,4,1,10 min,6 h 0 min,6 h 10 min,Kuhinje,212.13 kCal
Svinjska nabodala z ananasovo solato,14,250,5,2,40 min,18 min,58 min,Azijska,108.99 kCal
Bučkine rezine s sirom,12,193,4,1,30 min,45 min,1 h 15 min,Poletje,137.96 kCal
Preprost metin sirup,4,142,4,1,45 min,5 min,50 min,Domači pripravki,120.4 kCal
Mesna pita,11,185,5,1,15 min,50 min,1 h 5 min,Piknik in žar,251.23 kCal
Zelenjavni ocvrtki iz čičerike in jajčevcev,14,149,4,2,15 min,25 min,40 min,Vegetarijanstvo,119.87 kCal
Nabodala s piščančjimi jetrci,8,143,4,1,20 min,5 min,25 min,Kuhinje,141.86 kCal
"Mozaik polenta s kumarično omako, lososom in koruznim cvrtkom",11,158,5,1,15 min,45 min,1 h 0 min,MasterChef,105.44 kCal
Borovničev sladoled iz dveh sestavin,2,83,3,1,10 min,0 min,10 min,Sladice,115.66 kCal
Puranji zrezki na žaru z mocarelo,8,116,3,1,10 min,10 min,20 min,Meso,133.94 kCal
Pečena polenta s timijanom in začinjeno smetano,10,141,4,1,10 min,35 min,45 min,Vegetarijanstvo,126.12 kCal
Mehki zrezki v gobovi omaki z domačimi rezanci,14,350,8,2,10 min,1 h 55 min,2 h 5 min,Kosilo,140.74 kCal
Golaž s polento,18,258,5,1,15 min,3 h 20 min,3 h 35 min,Kosilo,92.37 kCal
Nabodala iz slanine in sira,6,65,2,1,15 min,10 min,25 min,Piknik in žar,467.04 kCal
Pečen krompir z brokolijem in parmezanom,5,91,4,1,5 min,45 min,50 min,Zelenjava,71.93 kCal
"Polnjeni ravioli s popečenim radičem, rikoto in šampinjoni v žajbljevem maslu",16,344,8,2,20 min,25 min,45 min,MasterChef,335.06 kCal
Sočne BBQ perutničke,8,128,4,2,10 min,20 min,30 min,Meso,139.89 kCal
Mangov tart z avokadovo kremo,7,81,4,2,10 min,25 min,35 min,MasterChef,142.86 kCal
"Rezanci s peteršiljem, praženim radičem in jajčevci",9,127,4,2,15 min,15 min,30 min,MasterChef,200.19 kCal
Taco s pikantnimi kozicami in zeljno solato,16,157,5,1,20 min,15 min,35 min,Zabava,158.43 kCal
Hrenovke v listnatem testu,4,117,3,1,15 min,20 min,35 min,Zabava,291.45 kCal
Rižev narastek s pudingom,11,259,6,1,15 min,55 min,1 h 10 min,Sladice,133.22 kCal
Goveji zrezki v gorčični omaki,10,177,6,1,10 min,2 h 0 min,2 h 10 min,Kaj skuhati,115.27 kCal
"Cvetačna kremna juha z brstičnim ohrovtom, poširanim jajcem in bučnim oljem",10,98,4,2,10 min,30 min,40 min,MasterChef,78.54 kCal
Rižota s šparglji in surovimi škampi,11,171,6,2,10 min,30 min,40 min,MasterChef,254.68 kCal
"Gorenjska prata, zajčji file in gobova omaka s suhimi slivami",16,167,6,1,15 min,45 min,1 h 0 min,MasterChef,117.41 kCal
Candy land torta,28,403,10,3,50 min,2 h 0 min,2 h 50 min,MasterChef,345.29 kCal
"Mafini s špinačo, feto in semeni",13,171,5,1,10 min,30 min,40 min,Zabava,270.79 kCal
Jabolčni drobljenec z borovnicami,10,181,4,1,10 min,45 min,55 min,Sladice,162.11 kCal
Orehova potica z drožmi,14,305,6,1,50 min,1 h 10 min,2 h 0 min,Velika noč,423.13 kCal
Velikonočni kruhov venec z jajci,7,215,7,2,20 min,1 h 0 min,1 h 20 min,Velika noč,180.93 kCal
Fokača s papriko in rožmarinom,10,251,5,2,1 h 40 min,20 min,2 h 0 min,Italijanska,348.09 kCal
Piščančje krače v čebulni omaki z rižem,10,169,6,1,10 min,45 min,55 min,Kosilo,119.02 kCal
Jogurtov zavitek z višnjami in zdrobom,11,155,4,1,1 h 20 min,45 min,2 h 5 min,Sladice,194.53 kCal
Burger bombice s sezamom,10,179,7,2,3 h 35 min,29 min,4 h 4 min,Testenine in žita,341.17 kCal
Bobići oz. frmentonova mineštra,9,109,3,1,10 min,40 min,50 min,Juhe in jedi na žlico,222.33 kCal
Sirova pita z bučkami,7,228,4,1,30 min,45 min,1 h 15 min,Zelenjava,143.86 kCal
Maroška pomarančna torta,9,215,4,1,20 min,1 h 50 min,2 h 10 min,Sladice,252.06 kCal
Pražen piščanec z zelenjavo,8,82,3,1,10 min,20 min,30 min,Na hitro,143.44 kCal
Pijana nevesta,14,235,7,1,40 min,35 min,1 h 15 min,Sladice,221.42 kCal
Omleta z brokolijem in šparglji,6,107,4,1,10 min,20 min,30 min,Na hitro,69.87 kCal
Sendvič z jajcem (jajčni sendvič),6,166,5,1,5 min,10 min,15 min,Na hitro,197.22 kCal
Pita s pudingom in gozdnimi sadeži,13,351,7,2,1 h 0 min,45 min,1 h 45 min,Sladice,258.84 kCal
Piščanec s kuskusom,14,306,4,1,10 min,1 h 0 min,1 h 10 min,Kuhinje,229.25 kCal
Omleta s tuno in avokadom,6,111,3,1,8 min,10 min,18 min,Jajčne jedi,175.74 kCal
Kolački iz riževe moke,10,115,6,1,10 min,20 min,30 min,Brez glutena,316.14 kCal
Kruh brez kvasa,9,79,3,1,35 min,1 h 0 min,1 h 35 min,Testenine in žita,341.36 kCal
Pomladna rižota s šparglji in grahom,12,283,6,2,10 min,30 min,40 min,Testenine in žita,170.57 kCal
"Cmočki s svinjino in ostrigarji, omaka rumenih češnjevih paradižnikov, sotiran brokoli",11,160,5,1,20 min,30 min,50 min,MasterChef,127.08 kCal
Juha za večjo odpornost,10,91,3,1,10 min,10 min,20 min,Zdravo in vegi,150.13 kCal
Korenčkov cheesecake,17,161,6,1,20 min,50 min,1 h 10 min,Sladice,264.73 kCal
Čarobno čokoladno pecivo,10,213,6,1,15 min,1 h 0 min,1 h 15 min,Sladice,350.99 kCal
Skutine rezine s sadjem,13,222,6,1,30 min,12 min,42 min,Sladice,202.89 kCal
Makovo pecivo s skuto,15,129,6,1,15 min,45 min,1 h 0 min,Sladice,293.74 kCal
Sladke mlečne pletenke,12,255,5,1,0 min,0 min,0 min,Sladice,390.78 kCal
Sladki polžki iz listnatega testa,8,141,5,1,25 min,20 min,45 min,Sladice,417.62 kCal
Hitro in sočno jabolčno pecivo,12,129,6,1,15 min,35 min,50 min,Brez glutena,159.26 kCal
Čokoladni cheesecake,12,180,6,1,20 min,0 min,20 min,Sladice,462.56 kCal
LCHF palačinke iz pečice,9,106,5,1,10 min,15 min,25 min,LCHF,229.42 kCal
Preproste jabolčne rezine,10,141,6,1,15 min,35 min,50 min,Sladice,167.67 kCal
Kruhov narastek s prekajenim mesom,9,110,4,1,30 min,40 min,1 h 10 min,Kosilo,220.16 kCal
LCHF kruh,9,119,5,1,10 min,45 min,55 min,LCHF,334.55 kCal
Zelenjavna fritata,6,133,6,1,5 min,15 min,20 min,Zdravo in vegi,102.18 kCal
Zapečen krompir s klobaso,12,231,4,1,15 min,1 h 20 min,1 h 35 min,Kaj skuhati,94.54 kCal
Krompirjev golaž,10,110,5,1,10 min,22 min,32 min,Juhe in jedi na žlico,69.28 kCal
Francoska solata z ocvrtimi piščančjimi kračami,13,137,6,1,20 min,20 min,40 min,Kosilo,138.87 kCal
Orehovi razpokančki,11,106,4,1,20 min,8 min,28 min,Sladice,432.32 kCal
"Skutina čokoladna krema z lahkim biskvitom, jagodno omako in praženimi lešniki",15,262,8,2,25 min,15 min,40 min,MasterChef,198.84 kCal
"Rdeč tajski curry z zelenjavo, piščancem, škampi in indijskimi oreščki",14,162,5,1,15 min,25 min,40 min,MasterChef,126.67 kCal
"Malinov mousse na ajdovem biskvitu, čokoladni ganache in malinova omaka",15,152,5,1,25 min,15 min,40 min,MasterChef,269.56 kCal
"Školjke s porom v beli omaki, radičev zavitek s slanino, parmezanov hrustek",14,103,5,1,15 min,25 min,40 min,MasterChef,164.46 kCal
Hitro pecivo s skuto,13,176,5,1,15 min,40 min,55 min,Sladice,241.39 kCal
File brancina s svežo omako in fižolov pire,11,217,6,1,15 min,25 min,40 min,MasterChef,71.97 kCal
Pirina skleda,7,52,2,1,8 min,2 min,10 min,Zdravo in vegi,166.41 kCal
Rižota z borovnicami in gorgonzolnim prelivom,10,173,6,1,10 min,25 min,35 min,MasterChef,267.3 kCal
Jabolčni otoček v vanilijevi omaki,17,166,5,1,20 min,20 min,40 min,MasterChef,252.55 kCal
Riž s paradižnikovo omako s tuno in koruzo,8,185,5,1,5 min,25 min,30 min,Na hitro,159.86 kCal
Enolončnica z rižem in mletim mesom,13,147,4,1,5 min,30 min,35 min,Juhe in jedi na žlico,92.12 kCal
Gin tonik tortice v kozarčkih,18,156,4,1,30 min,0 min,30 min,Sladice,389.7 kCal
Hitre čokoladno kokosove rezine,14,138,6,1,20 min,30 min,50 min,Sladice,224.99 kCal
Višnje v rdečem vinu z mascarponejevo kremo,6,75,3,1,10 min,5 min,15 min,Sladice,169.96 kCal
Čokoladno bananine rezine,11,160,5,1,15 min,15 min,30 min,Sladice,341.02 kCal
Zdrava testeninska solata,14,99,5,1,20 min,10 min,30 min,Zdravo in vegi,160.97 kCal
Mehki kvašeni rogljički z makom in marmelado,12,269,6,2,1 h 40 min,25 min,2 h 5 min,Sladice,415.8 kCal
Kvašene miške z rozinami in orehi,12,256,8,2,1 h 20 min,20 min,1 h 40 min,Sladice,366.44 kCal
"Pogača z jajci, slanino in briejem",12,169,4,1,1 h 20 min,45 min,2 h 5 min,Predjedi in prigrizki,336.74 kCal
Kokosova rolada,10,292,8,2,30 min,25 min,55 min,Sladice,380.91 kCal
Sočne skutine rezine s sadjem,14,183,4,1,1 h 20 min,40 min,2 h 0 min,Sladice,250.71 kCal
Mandljevi LCHF piškoti s koščki temne čokolade,8,84,4,1,10 min,10 min,20 min,Sladice,593.22 kCal
Kvašeni rogljički s sirom,10,171,4,2,1 h 50 min,15 min,2 h 5 min,Predjedi in prigrizki,308.4 kCal
Bananini ocvrtki z rozinami,10,225,5,2,30 min,25 min,55 min,Sladice,227.08 kCal
Cvetača s panceto in sirom iz pečice,10,123,4,1,15 min,30 min,45 min,Zelenjava,187.59 kCal
Zapečene palačinke s šunko in sirom,13,194,5,1,40 min,45 min,1 h 25 min,Kosilo,222.31 kCal
Pikantni golaž s krompirjem in klobaso,10,137,5,1,10 min,35 min,45 min,Juhe in jedi na žlico,170.37 kCal
Krompirjev narastek s kislim zeljem,11,143,5,1,15 min,1 h 0 min,1 h 15 min,Kaj skuhati,131.92 kCal
Cimetove rolice s prelivom,12,178,7,2,1 h 10 min,30 min,1 h 40 min,Sladice,375.88 kCal
LCHF bombete,9,82,4,1,10 min,25 min,35 min,Predjedi in prigrizki,212.5 kCal
Krekerji s chia semeni in sezamom,6,114,5,1,10 min,14 min,24 min,Predjedi in prigrizki,474.18 kCal
Medena pita,22,318,6,2,35 min,55 min,1 h 30 min,Božič in novo leto,415.66 kCal
Želeji s penino in ginom,6,115,5,1,12 min,3 min,15 min,Božič in novo leto,325.86 kCal
Marmeladni žepki,8,130,6,1,1 h 0 min,15 min,1 h 15 min,Sladice,419.43 kCal
Počasi pečena svinjska potrebušina s hrustljavo kožico,8,144,4,1,15 min,2 h 5 min,2 h 20 min,Meso,194.5 kCal
